CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428867.126,4580934.337,Pl. Espanya. 5 (cantonada Cruz Cubierta) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428878.125,4580989.337,Pl. Espanya. 6-8 - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428961.099,4584495.332,Av. República Argentina. 2-4 (Pl. Lesseps) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428967.109,4583102.335,C. Muntaner. 244 (entre Av. Diagonal i Trav. Gràcia) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428984.126,4580878.338,Av. Reina Mª Cristina. 1-13 (Pl. Espanya) - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429043.12,4581652.337,C. Aragó. 73-77 (c/ Rocafort 147) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429055.108,4583205.335,C. Aribau. 240 (entre Av. Diagonal i Trav. Gràcia) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429090.1,4584358.334,C. Gran de Gràcia. 266 - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429123.107,4583370.335,C. Tuset. 38 (xamfrà Trv. de Gràcia) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429140.118,4581914.338,C. València. 77-79 aprox. (cantonada c/ Viladomat) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429168.131,4580220.341,C. Mirador del Palau Nacional. 9 (Av. Dels Montanys) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429175.113,4582505.337,C. Villarroel. 170 (C/ Roselló - C/ Còrsega) - places: 17-,,
