CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428395.02,4580833.426,Aparcament Antonio i Mª Baeza i Sogas,934316525,C Moianés. 64
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428397.259,4581817.228,Aparcament Tarradellas Nicaragua,934300234,Av Josep Tarradellas. 46
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428404.159,4580900.406,Aparcament Vilardell,934314961,C Vilardell. 20
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428424,4582219,Aparcament Tarradellas Entença,934198665,Av Josep Tarradellas. 64
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428426.486,4584322.186,Aparcament Mitre-Putget,934092021,Rda General Mitre. 203
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428429.8,4580594.806,Aparcament Plafer Abanto,933322851,C Sant Pere d'Abanto. 14
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428430.739,4582812.096,Aparcament Loreto,934308248,C Loreto. 54
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428432.563,4580494.604,Aparcament Berenguer Carol LMA CB,934315331,G.V. Corts Catalanes. 259
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428433.874,4583178.141,Aparcament Mercantil Calvet-Tenor Viñas,932744595,C Calvet. 33
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428439.264,4582712.03,Aparcament Peguera,934103780,Av Josep Tarradellas. 143
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428445.662,4581801.983,Aparcament Nuñez y Navarro - Master*Rosselló,934198669,C Rosselló. 1*13
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428452,4586409,Aparcament Mercat Vall d'Hebron,null,Pg Vall d'Hebron. 148
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428456.525,4582157.877,Aparcament Urapunga,934302299,C París. 42*44
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428457,4583381,Aparcament Galvany,934140286,C Calaf. 28*32
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428459.461,4581971.823,Aparcament Inbu,934392270,C Còrsega. 54*56
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428464.705,4583021.022,Aparcament Pau Casals,932092122,Av Pau Casals. 14
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428488.044,4582652.828,Aparcament Tarradellas Sarria,934197907,Av Josep Tarradellas. 139
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428489.071,4583737.222,Corver S.A.*Marc Aureli-Aparcament Corver,932092366,C Marc Aureli. 8
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428489.234,4583004.227,Aparcament Mª Rosa Diez Velez,932007713,Av Pau Casals. 10
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428505.371,4583684.269,Aparcament Fatiax Vol,932098326,C Tavern. 48
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428505.455,4582365.103,Aparcament Francisco Soler Izard,933222329,C Londres. 6
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428527.586,4582129.817,Aparcament Antonio Perez Martinez,934395595,C Còrsega. 73
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428539.649,4583066.717,Aparcament Mª Rosa Diez Velez,932007713,C Calvet. 17
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428540.706,4577804.6,Aparcament Z Centre Servei,932638111,C Número 60 Zona Franca. 25*27
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428543.491,4586696.679,Aparcament de Sant Genís - Vall d'Hebron,934284403,Pg Vall d'Hebron. 138*176
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428550.633,4583678.288,Aparcament Fatiax Vol,932098326,Via Augusta. 158
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428561.806,4583578.472,Aparcament Gemma,932093708,C Rector Ubach. 18*20
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428562.895,4584080.944,Aparcament Gloria Rovilalta Matas,932122281,C Manuel Angelon. 8*10
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428569.33,4581453.04,Aparcament Roma 2000,932262040,C València. 1*7
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428581.041,4581312.168,Aparcament Nuñez y Navarro - Torre NN *Tarragona,934265954,C Tarragona. 147
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428644.289,4583331.082,Aparcament Jaime Alemany Gubern,932097747,C Laforja. 100
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428646.853,4582471.947,Aparcament Quinta de Salut L'Aliança,933217228,C Viladomat. 288
